,0
2020-06-29,24.08156814733442
2020-07-07,24.072323330373965
2020-07-14,23.896071853685275
2020-07-21,23.95743656475831
2020-07-28,24.266755381543298
2020-08-04,24.376223958991876
2020-08-11,24.653571447811807
2020-08-18,24.646144708302792
2020-08-25,24.838399566654346
2020-09-02,24.854941232622217
2020-09-10,25.392173622145688
2020-09-17,25.59911708465057
2020-09-24,25.81116666323241
2020-10-01,25.94153901998486
2020-10-08,26.21227866499977
2020-10-16,26.426404926862823
2020-10-23,26.00760417856517
2020-10-30,25.95784660904568
2020-11-06,25.664904802989376
2020-11-16,25.993858282054045
2020-11-23,26.001491873502275
2020-12-02,26.244299140241665
2020-12-09,26.87109496449767
2020-12-16,26.722721921374628
2020-12-23,26.794010270819324
2021-01-04,26.84966182467648
2021-01-11,26.101542887339214
2021-01-19,26.12122519166161
2021-01-27,26.217666555617953
2021-02-03,26.203730690661985
2021-02-10,26.245611203311455
2021-02-18,26.273741806021146
2021-02-25,25.865708350961345
2021-03-04,26.18504011838578
2021-03-11,26.48740938928608
2021-03-18,26.55681420170774
2021-03-25,24.875371883718966
2021-04-01,25.078063232560147
2021-04-12,24.30916017411345
2021-04-19,24.88791949639567
2021-04-26,24.984853329469743
2021-05-04,25.09449633012206
2021-05-11,24.782186351436746
2021-05-18,24.88256455584418
2021-05-25,24.808607712005518
2021-06-02,25.022362566968084
2021-06-09,24.918234842986358
2021-06-16,24.885561869626414
2021-06-23,25.00028696749134
2021-06-30,25.173367207272037
2021-07-08,25.454872298534603
2021-07-15,25.469328018033767
2021-07-22,25.80642778816247
2021-07-29,25.846676576569283
2021-08-05,25.51639072279942
2021-08-12,25.278026313456564
2021-08-19,25.345316215018972
2021-08-26,26.572106871561886
2021-09-03,26.885149404906098
2021-09-13,27.02902442477276
2021-09-20,27.06705160290676
2021-09-27,27.4727210798049
2021-10-04,27.41348488886582
2021-10-12,27.56044522200989
2021-10-19,27.621620186100973
2021-10-26,27.816425206478915
2021-11-02,27.764672298888737
2021-11-09,28.357078793465366
2021-11-17,28.46434849328048
2021-11-24,28.180300253360613
2021-12-02,29.150356575933575
2021-12-09,29.43660080208361
2021-12-16,29.213311258283785
